sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
5.1,3.5,1.4,0.2,setosa,-25.50239,-1.6439273
4.9,3.0,1.4,0.2,setosa,-23.042055,-0.9945823
4.7,3.2,1.3,0.2,setosa,-22.78724,-2.0969117
4.6,3.1,1.5,0.2,setosa,-22.4982,-1.8618948
5.0,3.6,1.4,0.2,setosa,-25.574633,-2.148222
5.4,3.9,1.7,0.4,setosa,-27.478119,-2.2993042
4.6,3.4,1.4,0.3,setosa,-23.01531,-2.7410557
5.0,3.4,1.5,0.2,setosa,-24.724585,-1.837054
4.4,2.9,1.4,0.2,setosa,-21.737583,-1.6623355
4.9,3.1,1.5,0.1,setosa,-23.42527,-1.3101367
5.4,3.7,1.5,0.2,setosa,-27.003332,-1.584078
4.8,3.4,1.6,0.2,setosa,-24.015291,-2.4006426
4.8,3.0,1.4,0.1,setosa,-22.690115,-1.2008787
4.3,3.0,1.1,0.1,setosa,-21.468428,-2.2023962
5.8,4.0,1.2,0.2,setosa,-28.315105,-1.4963138
5.7,4.4,1.5,0.4,setosa,-28.510319,-2.0672727
5.4,3.9,1.3,0.4,setosa,-27.60719,-1.8478044
5.1,3.5,1.4,0.3,setosa,-25.583895,-1.851561
5.7,3.8,1.7,0.3,setosa,-27.784075,-1.324798
5.1,3.8,1.5,0.3,setosa,-26.589819,-2.4304419
5.4,3.4,1.7,0.2,setosa,-26.33895,-0.82893705
5.1,3.7,1.5,0.4,setosa,-26.243612,-2.4507453
4.6,3.6,1.0,0.2,setosa,-22.77103,-3.4960675
5.1,3.3,1.7,0.5,setosa,-25.04967,-3.0911198
4.8,3.4,1.9,0.2,setosa,-24.071886,-3.067675
5.0,3.0,1.6,0.2,setosa,-23.405996,-0.8092441
5.0,3.4,1.6,0.4,setosa,-24.932297,-2.6448183
5.2,3.5,1.5,0.2,setosa,-25.935797,-1.5525918
5.2,3.4,1.4,0.2,setosa,-25.488144,-1.1700662
4.7,3.2,1.6,0.2,setosa,-23.259008,-2.152587
4.8,3.1,1.6,0.2,setosa,-23.255947,-1.7057803
5.4,3.4,1.5,0.4,setosa,-26.321953,-0.9724485
5.2,4.1,1.5,0.1,setosa,-27.673124,-2.6387343
5.5,4.2,1.4,0.2,setosa,-28.194323,-2.1366394
4.9,3.1,1.5,0.2,setosa,-23.472502,-1.409121
5.0,3.2,1.2,0.2,setosa,-24.083012,-0.9244989
5.5,3.5,1.3,0.2,setosa,-26.86235,-0.9129214
